iteration,hyper_objective_value,hyper_objective_loss,grad_estimator_norm,step_norm,x_0,x_1,x_2,x_3,x_4,grad_estimator_0,grad_estimator_1,grad_estimator_2,grad_estimator_3,grad_estimator_4,config_alg2_K,config_alg2_mu,config_alg2_output_rule,config_alg3_T,config_alg3_eta,config_alg3_output_rule,config_alg3_samples,config_alpha,config_beta,config_dim,config_epsilon_g,config_grad_f_gamma,config_grad_f_samples,config_grad_g_gamma,config_grad_g_samples,config_grad_mode,config_log_path,config_plot,config_plot_dir,config_rho,config_run_alg2_demo,config_seed_grad_f,config_seed_grad_g,config_seed_outer,config_verbose,config_x0_value,config_x_box_lower,config_x_box_upper,config_x_target_value,config_y0_value,config_y_box_lower,config_y_box_upper,config_y_target_value,config_json
0,11.94222592958211,11.94222592958211,13.02357601393399,0.39070728041801994,4.0,4.0,4.0,4.0,4.0,5.9292650400509235,3.4557344544204325,1.7155804364582148,-0.778705157922891,10.907137557542049,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
1,10.617657433806933,10.617657433806933,14.035133789340257,0.4210540136802077,3.822122048798472,3.896327966367387,3.9485325869062535,4.023361154737687,3.6727858732737384,7.458537748249283,-0.03464032477237317,10.884723143174249,4.038153006462611,2.5632240603124576,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
2,9.0164460766391,9.0164460766391,12.409274448224616,0.3722782334467383,3.5983659163509936,3.897367176110558,3.6219908926110262,3.9022165645438087,3.5958891514643647,6.142917682496192,6.537360988148972,4.0608671411896875,5.228401641075218,5.44892102431956,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
3,7.283425976005663,7.283425976005663,10.538628696164775,0.3161588608849434,3.414078385876108,3.701246346466089,3.500164878375336,3.745364515311552,3.432421520734778,-0.017825733333575067,7.212098362100099,2.6871016380846546,2.728975083626729,6.6618461430596785,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
4,6.343098054403255,6.343098054403255,3.558318931861445,0.10674956795584328,3.414613157876115,3.484883395603086,3.4195518292327964,3.66349526280275,3.232566136442988,3.1746284330807137,-0.9774567439494201,1.0770065659590118,0.634585372414476,-0.25554746804775913,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
5,5.965285430723193,5.965285430723193,1.3656645300570152,0.040969935901710365,3.3193743048836937,3.5142070979215685,3.387241632254026,3.6444577016303157,3.2402325604844204,0.9011413477895307,-0.10680535213970835,0.8869971674005811,-0.062318877130175754,0.5009280180732645,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
6,5.995658778042618,5.995658778042618,6.078385486683246,0.18235156460049728,3.292340064450008,3.5174112584857595,3.3606317172320086,3.646327267944221,3.2252047199422225,2.074753420448035,-2.8131620376240107,1.642449879195976,1.108896778474792,4.560810678832127,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
7,5.67728554836366,5.67728554836366,5.990549343998573,0.17971648031995735,3.230097461836567,3.60180611961448,3.311358220856129,3.6130603645899773,3.0883803995772587,-1.2235147540495648,2.3335234152574515,5.3321562075645055,0.3064962733758385,0.6469403160168649,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
8,5.422034543205446,5.422034543205446,2.5388595834501237,0.07616578750350361,3.266802904458054,3.5318004171567563,3.151393534629194,3.603865476388702,3.0689721900967526,-1.379687239632351,1.0429415923071343,0.6608414256790638,1.2480496161471395,-1.2083893023564465,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
9,5.354576369031801,5.354576369031801,3.9269595375345356,0.11780878612603618,3.3081935216470244,3.5005121693875423,3.131568291858822,3.566423987904288,3.105223869167446,0.022260099802060007,0.9498125456569273,-0.21989241426373807,3.526405235444491,1.4263538365643744,80,0.06,best_g,200,0.03,best_value,4,1.0,1.0,5,0.25,0.01,10,0.01,10,zeroth_order,logs/dims/run_005.csv,True,plots/dims/5/,0.05,False,10,20,520,False,4.0,-8.0,8.0,2.0,0.0,-8.0,8.0,1.0,"{""alg2_K"": 80, ""alg2_mu"": 0.06, ""alg2_output_rule"": ""best_g"", ""alg3_T"": 200, ""alg3_eta"": 0.03, ""alg3_output_rule"": ""best_value"", ""alg3_samples"": 4, ""alpha"": 1.0, ""beta"": 1.0, ""dim"": 5, ""epsilon_g"": 0.25, ""grad_f_gamma"": 0.01, ""grad_f_samples"": 10, ""grad_g_gamma"": 0.01, ""grad_g_samples"": 10, ""grad_mode"": ""zeroth_order"", ""log_path"": ""logs/dims/run_005.csv"", ""plot"": true, ""plot_dir"": ""plots/dims/5/"", ""rho"": 0.05, ""run_alg2_demo"": false, ""seed_grad_f"": 10, ""seed_grad_g"": 20, ""seed_outer"": 520, ""verbose"": false, ""x0_value"": 4.0, ""x_box_lower"": -8.0, ""x_box_upper"": 8.0, ""x_target_value"": 2.0, ""y0_value"": 0.0, ""y_box_lower"": -8.0, ""y_box_upper"": 8.0, ""y_target_value"": 1.0}"
